tail,arc_type,ferry_origin,ferry_dest,ferry_nm,ferry_hrs,ferry_cost,to_team,to_game_apt,to_game_dt,from_team,from_game_apt,from_game_dt
erj_145_IND_0,depot_out,IND,FWA,90.9,0.36,1404.15,Purdue Fort Wayne Mastodons,MGW,2025-11-04 00:00:00+00:00,,,
erj_145_IND_0,depot_in,FWA,IND,90.9,0.36,1404.15,,,,Purdue Fort Wayne Mastodons,MGW,2025-11-04 00:00:00+00:00
erj_145_IND_0,depot_out,IND,LUK,94.5,0.38,1459.2,Cincinnati Bearcats,SCE,2025-11-07 23:00:00+00:00,,,
erj_145_IND_0,depot_out,IND,LUK,94.5,0.38,1459.2,Cincinnati Bearcats,SCE,2025-11-07 23:00:00+00:00,,,
erj_145_IND_0,depot_out,IND,FWA,90.9,0.36,1404.15,Purdue Fort Wayne Mastodons,CMH,2025-11-07 23:30:00+00:00,,,
erj_145_IND_0,depot_in,FWA,IND,90.9,0.36,1404.15,,,,Purdue Fort Wayne Mastodons,CMH,2025-11-07 23:30:00+00:00
erj_145_IND_0,depot_in,SCE,IND,392.6,1.57,6061.78,,,,Penn State Nittany Lions,HVN,2025-11-08 18:00:00+00:00
erj_145_IND_0,depot_out,IND,MIE,52.0,0.21,802.63,Ball State Cardinals,MSN,2025-11-12 01:30:00+00:00,,,
erj_145_IND_0,depot_out,IND,LAF,51.2,0.2,790.67,Purdue Boilermakers,FWA,2025-11-13 00:00:00+00:00,,,
erj_145_IND_0,depot_out,IND,ARB,189.7,0.76,2928.57,Michigan Wolverines,AFW,2025-11-15 02:00:00+00:00,,,
erj_145_IND_0,depot_in,CMH,IND,157.7,0.63,2435.08,,,,Ohio State Buckeyes,BDL,2025-11-16 17:00:00+00:00
erj_145_IND_0,depot_out,IND,BMG,37.4,0.15,577.7,Indiana Hoosiers,RSW,2025-11-25 18:00:00+00:00,,,
erj_145_IND_0,depot_in,CMH,IND,157.7,0.63,2435.08,,,,Ohio State Buckeyes,PIT,2025-11-29 00:00:00+00:00
erj_145_IND_0,depot_in,BMG,IND,37.4,0.15,577.7,,,,Indiana Hoosiers,RSW,2025-11-30 18:30:00+00:00
erj_145_IND_0,depot_in,BMG,IND,37.4,0.15,577.7,,,,Indiana Hoosiers,RSW,2025-11-30 18:30:00+00:00
erj_145_IND_0,depot_out,IND,BDL,631.6,2.53,9752.62,UConn Huskies,LWC,2025-12-03 02:00:00+00:00,,,
erj_145_IND_0,depot_in,BDL,IND,631.6,2.53,9752.62,,,,UConn Huskies,LWC,2025-12-03 02:00:00+00:00
erj_145_IND_0,depot_out,IND,BMG,37.4,0.15,577.7,Indiana Hoosiers,MSP,2025-12-04 00:00:00+00:00,,,
erj_145_IND_0,depot_in,BMG,IND,37.4,0.15,577.7,,,,Indiana Hoosiers,MSP,2025-12-04 00:00:00+00:00
erj_145_IND_0,depot_out,IND,EWR,558.6,2.23,8624.17,Rutgers Scarlet Knights,ARB,2025-12-06 21:00:00+00:00,,,
erj_145_IND_0,depot_in,EWR,IND,558.6,2.23,8624.17,,,,Rutgers Scarlet Knights,ARB,2025-12-06 21:00:00+00:00
erj_145_IND_0,depot_out,IND,CMI,93.3,0.37,1441.21,Illinois Fighting Illini,BNA,2025-12-07 01:00:00+00:00,,,
erj_145_IND_0,depot_in,LAF,IND,51.2,0.2,790.67,,,,Purdue Boilermakers,ARB,2025-12-07 17:00:00+00:00
erj_145_IND_0,depot_in,SCE,IND,392.6,1.57,6061.78,,,,Penn State Nittany Lions,BMG,2025-12-10 01:30:00+00:00
erj_145_IND_0,depot_out,IND,LUK,94.5,0.38,1459.2,Cincinnati Bearcats,FTY,2025-12-13 19:00:00+00:00,,,
erj_145_IND_0,depot_in,LUK,IND,94.5,0.38,1459.2,,,,Cincinnati Bearcats,FTY,2025-12-13 19:00:00+00:00
erj_145_IND_0,depot_out,IND,BDL,631.6,2.53,9752.62,UConn Huskies,LAX,2025-12-13 22:30:00+00:00,,,
erj_145_IND_0,depot_out,IND,BMG,37.4,0.15,577.7,Indiana Hoosiers,LEX,2025-12-14 00:45:00+00:00,,,
erj_145_IND_0,depot_in,BMG,IND,37.4,0.15,577.7,,,,Indiana Hoosiers,LEX,2025-12-14 00:45:00+00:00
erj_145_IND_0,depot_out,IND,MGW,294.6,1.18,4549.13,West Virginia Mountaineers,BKL,2025-12-14 01:00:00+00:00,,,
erj_145_IND_0,depot_in,MGW,IND,294.6,1.18,4549.13,,,,West Virginia Mountaineers,BKL,2025-12-14 01:00:00+00:00
erj_145_IND_0,depot_in,SCE,IND,392.6,1.57,6061.78,,,,Penn State Lady Lions,CUB,2025-12-14 20:30:00+00:00
erj_145_IND_0,depot_out,IND,BWI,447.3,1.79,6905.95,Maryland Terrapins,CHO,2025-12-20 23:00:00+00:00,,,
erj_145_IND_0,depot_in,LAN,IND,199.3,0.8,3076.61,,,,Michigan State Spartans,AVL,2025-12-23 00:30:00+00:00
erj_145_IND_0,depot_out,IND,EWR,558.6,2.23,8624.17,Rutgers Scarlet Knights,LAN,2025-12-28 19:00:00+00:00,,,
erj_145_IND_0,depot_out,IND,SCE,392.6,1.57,6061.78,Penn State Lady Lions,CID,2025-12-28 21:00:00+00:00,,,
erj_145_IND_0,depot_in,SCE,IND,392.6,1.57,6061.78,,,,Penn State Lady Lions,CID,2025-12-28 21:00:00+00:00
erj_145_IND_0,depot_out,IND,CMH,157.7,0.63,2435.08,Ohio State Buckeyes,LAF,2025-12-31 17:30:00+00:00,,,
erj_145_IND_0,depot_out,IND,LUK,94.5,0.38,1459.2,Cincinnati Bearcats,MHK,2025-12-31 19:00:00+00:00,,,
erj_145_IND_0,depot_out,IND,CMI,93.3,0.37,1441.21,Illinois Fighting Illini,PHL,2026-01-04 00:00:00+00:00,,,
